sentence,label,id,type
"Now he's got to stand and be counted on the full gamut of public policy issues we face, and suddenly he's looking a lot like Glen Clark II",6,f80b07834ddb45c08e9d4c6a02b5adc9,comment
The real issue here is the polarization of debate: black and white positions taken: 'you are with us or against us' said Dubya.... a less than brilliant neo-conservative who seems emulated here by the left-wing self-righeous heavy breathers.,6,59294883c6e24c8a957536a39f38ea76,comment
And the number of casualties in one plane crash vastly outnumbers the number of people who died because of Chernobyl and Fukushima.,9,b046db8d20694000b734fa715a627b65,comment
That paradigm is long gone and mourning it here will never move the clock back to the mid 20th Century American Golden Age.,11,2424957c38de412582d49af27392ac5c,comment
"I don't mind the basic pricing, but object strongly to the gouging every time you step outside the base package.",1,5910d2b0765a48dab0c6d1c5fd07b681,comment
The scary thing is that various Conservative's have given her access to committees that would allow her to influence legislation so that she can inflict her beliefs on everyone.,6,d6321013770048678bb1d5a7c14adf3f,comment
He has also reduced the degree to which taxpayers would be on the hook if the market turns sour and defaults climb.,1,13697883,article
"Among the most popular with a core group of Liberal and NDP voters was the pledge to 'repeal the problematic elements of Bill C-51, and introduce new legislation that better balances our collective security with our rights and freedoms.'",5,31806790,article
"Although prices have been reduced for new contracts, the resulting excess supply has led to a circumstance in which wind regularly displaces hydro and nuclear generation, neither of which produce greenhouse gases.",1,27750680,article
Among other indications is the fact he has been referred to in 8 Supreme Court of Canada decisions from 1988 t0 2008.,5,e53b04d72a804a67b582d5adf7f85d7e,comment
They were - and are - based on the principle of user pay.Embedded in the cost of airline tickets are fees that go to the authority running the airport where the passenger departs.,1,15935637,article
"And since we are told that the terrorist is targeting us at home, he uses that free hand against us on our own turf as well.",8,f2236d99d48e4b1183d753c423bfcf87,comment
"When China ratified the UN Convention on the Law of the Sea in 1996, it accepted the jurisdiction of the court over any dispute arising under that treaty.'",6,4ce0886a950b47e181bfcda575fff379,comment
"Or would he care, given his own grievances (see Keystone XL) with President Barack Obama's administration?The Obama administration was miffed at Britain's decision to join the AIIB, and said so publicly.",6,23545951,article
"Given current economic imperatives (when I was an undergraduate at Toronto's York University, 1,000-plus class sizes were not unheard of), gigantic online classes may seem like an easy way of generating revenue.",1,4593025,article
The Senate is not a chamber of 2nd thought - it is as whipped and partisan as the House of Commons.,6,ba601fd80c51401a905ae061f3ee8fc6,comment
"As Harvard's Walter Willett, perhaps the world's leading cancer epidemiologist, told The New York Times, 'Diet and cancer has turned out to be more complex and challenging than any of us expected.",9,18706014,article
"Obama's predecessor, George W. Bush, was broadly criticized for a'fly-over' visit to the Southern areas ravaged by Hurricane Katrina in 2005 - anact he later described as a 'huge mistake.'",12,20058923,article
"Perhaps some jurors should have begged off, citing experience with rural woodlands.For the crime of making such videotapes, for possessing a vast trove of child pornography, and for the rapes, the father received a total of six years.",5,4097283,article
"Yet these are exactly the troubling issues the committee is, or should be, trying to rectify.There are multiple glaring obstacles preventing MPs from overseeing the public purse.",6,547053,article
